DATES,LIP,LCPI,MP1_TC,FF4_TC,GS1,EBP
1996.666667,4.367633549,5.060694494,-0.0452777,-0.0303333,5.83,-0.4249
1996.75,4.366869849,5.063860055,-0.0920001,-0.0996667,5.55,-0.3811
1996.833333,4.375557002,5.067015628,-0.0105898,-0.006,5.42,-0.349
1996.916667,4.382155376,5.069532935,-0.0017035,-0.0088387,5.47,-0.443
1997,4.383481825,5.071416766,0.0057135,-0.0051613,5.61,-0.3501
1997.083333,4.395663232,5.073297055,-0.0313029,0,5.53,-0.4861
1997.166667,4.40267082,5.073923033,0.0038152,0.0090322,5.80,-0.513
1997.25,4.403467625,5.07454862,0.0309677,0.0309677,5.99,-0.4388
1997.333333,4.409629642,5.07454862,-0.038187,-0.0348387,5.87,-0.437
1997.416667,4.414686207,5.076423035,-0.060463,-0.0551615,5.69,-0.5077
1997.5,4.422300879,5.077670695,-0.0206902,-0.0193548,5.54,-0.5254
1997.583333,4.432773217,5.080161357,-0.000694,0.0035484,5.56,-0.5012
1997.666667,4.442016938,5.08264583,-0.00000572,0.0058064,5.52,-0.599
1997.75,4.451023173,5.084505143,0,0,5.46,-0.4728
1997.833333,4.459754743,5.085742767,-0.0263848,0,5.46,-0.396
1997.916667,4.463074222,5.086361005,-0.0152752,-0.0051613,5.53,-0.4517
1998,4.468359135,5.087596335,0,-0.0048387,5.24,-0.372
1998.083333,4.469473021,5.087596335,0,0,5.31,-0.3518
1998.166667,4.470337375,5.087596335,-0.0003226,0,5.39,-0.4017
1998.25,4.474037058,5.088830142,-0.0096774,0,5.38,-0.4764
1998.333333,4.480444481,5.091293197,-0.0108361,-0.0041935,5.44,-0.4354
1998.416667,4.474010835,5.092522454,-0.0150039,-0.0058064,5.41,-0.4212
1998.5,4.470259557,5.094976443,-0.0051599,0.00999,5.36,-0.3848
1998.583333,4.490515502,5.096201182,0.0053878,0.0045161,5.21,-0.038
1998.666667,4.488334077,5.09681299,0.0098755,0.0101504,4.71,-0.0996
1998.75,4.496239973,5.099256486,-0.0861473,-0.0717633,4.12,0.0032
1998.833333,4.495649919,5.100475998,-0.1416833,-0.1129031,4.53,0.0322
1998.916667,4.499143893,5.102302483,-0.0369227,0,4.52,-0.1039
1999,4.503641209,5.104125637,0,0,4.51,-0.122
1999.083333,4.508431286,5.104125637,0.0051999,0,4.70,-0.3518
1999.166667,4.510285716,5.104732617,-0.0002451,-0.0012903,4.78,-0.274
1999.25,4.512615107,5.111385197,-0.0093548,-0.0187097,4.69,-0.2785
1999.333333,4.519911817,5.111987788,-0.0053878,0.0180645,4.85,-0.2801
1999.416667,4.518176627,5.111987788,-0.0075421,0.0196021,5.10,-0.2141
1999.5,4.524548894,5.11619579,-0.029,-0.0676665,5.03,-0.1497
1999.583333,4.528706981,5.118592436,0.0090322,0.003871,5.20,-0.1481
1999.666667,4.525098311,5.122772794,0.0259676,0.0111289,5.25,-0.0046
1999.75,4.538369909,5.12455904,-0.0363455,0.0348387,5.43,-0.0409
1999.833333,4.543284144,5.126342102,0.0321207,0.0351663,5.55,-0.0788
1999.916667,4.551022295,5.128714582,0.0430083,0.0282309,5.84,-0.3143
2000,4.551363209,5.131672289,0.0100064,-0.0032258,6.12,-0.1216
2000.083333,4.554575595,5.135798437,-0.0570331,0.0048275,6.22,-0.1046
2000.166667,4.558758641,5.141663557,-0.0185368,-0.0033724,6.22,0.1539
2000.25,4.566297332,5.14107859,-0.03,-0.0064452,6.15,0.3301
2000.333333,4.568467819,5.142832464,0.0213315,0.0361292,6.33,0.4997
2000.416667,4.569418648,5.148656592,0.0174983,0.0323699,6.17,0.5527
2000.5,4.568360963,5.151555985,-0.0224998,-0.013509,6.08,0.6122
2000.583333,4.564822038,5.151555985,-0.0055516,0.0016129,6.18,0.7696
2000.666667,4.568873354,5.156753802,-0.0116584,0.0033872,6.13,0.8224
2000.75,4.565489207,5.158480421,0,0.023387,6.01,1.2588
2000.833333,4.565676476,5.160204064,-0.0053279,0.0016129,6.09,1.2965
2000.916667,4.562722913,5.162497643,0.0224199,-0.0020967,5.60,1.369
2001,4.55571415,5.168208681,-0.3290555,-0.1422579,4.81,0.9161
2001.083333,4.54921446,5.170483995,0.0085135,0.0193646,4.68,0.9419
2001.166667,4.546432408,5.171052016,0.0272748,-0.0290322,4.30,0.9789
2001.25,4.543607499,5.172754144,-0.1463938,-0.2063012,3.98,0.7754
2001.333333,4.536383722,5.177843213,-0.3010387,-0.2864408,3.78,0.6883
2001.416667,4.529837618,5.180096735,-0.0297523,-0.0532258,3.58,0.9779
2001.5,4.524491443,5.17840707,0.0910001,0.0650001,3.62,0.566
2001.583333,4.522331908,5.17840707,0.0054965,-0.0070968,3.47,0.6118
2001.666667,4.518909436,5.18234519,0.0099933,-0.0129032,2.82,1.0023
2001.75,4.514196789,5.179533831,-0.0362127,-0.0387096,2.33,0.8689
2001.833333,4.50881456,5.178970609,-0.1262071,-0.1179571,2.18,-0.4335
2001.916667,4.508926871,5.17840707,-0.0302501,-0.0436559,2.22,0.3562
2002,4.515278301,5.180096735,-0.0008872,-0.0083871,2.16,0.4983
2002.083333,4.51526736,5.18178355,0.0233872,0.0187097,2.23,0.7116
2002.166667,4.523148521,5.184588601,-0.0108361,-0.0188708,2.57,0.2618
2002.25,4.527570741,5.189060381,-0.0150039,-0.026129,2.48,0.3831
2002.333333,4.531679715,5.190175208,0.0052016,-0.016129,2.35,0.4131
2002.416667,4.541240546,5.190732156,0.0012484,-0.0055377,2.20,0.7523
