0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.731,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.729,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.728,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.727,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.726,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.725,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.724,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.723,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.722,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.721,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.72,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.719,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.718,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.717,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.716,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.715,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.714,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.713,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.712,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.711,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.71,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.709,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.708,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.707,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.706,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.705,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.704,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.703,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
0.702,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
